iteration,episode_reward_mean,iteration_time_sec
1,-1186.008085431955,15.025695085525513
2,-1070.0123100377707,14.348754644393921
3,-1107.5817179492637,14.311036109924316
4,-1027.4396158053182,14.21599292755127
5,-1091.9467252200443,14.297357320785522
6,-1061.0922023047788,14.102922439575195
7,-1058.0233654807555,14.254941940307617
8,-1029.0665482653178,14.260886430740356
9,-1053.6307811835636,14.097136974334717
10,-1011.1280190639205,14.227721691131592
11,-1031.2558517593873,14.41569185256958
12,-1030.4074340418379,14.150562524795532
13,-1055.2398050458314,14.135472536087036
14,-1033.700347222918,14.282496690750122
15,-1010.2777781985936,14.073503017425537
16,-994.877957912656,14.163156986236572
17,-1054.1472094262647,14.213828086853027
18,-1070.9487938536952,14.062938928604126
19,-1025.444278613531,14.09252643585205
20,-1035.9470849437148,14.296321153640747
21,-1020.2531799967501,14.15242075920105
22,-1080.22919497876,14.116305351257324
23,-997.8581405702965,14.488839387893677
24,-1017.2346957811867,14.125162124633789
25,-970.780637604229,13.98662805557251
26,-943.8309597675678,14.23595404624939
27,-1012.6593046989676,14.243553400039673
28,-1014.1582768374922,14.132806539535522
29,-1003.3874449347184,14.313810348510742
30,-1105.8327549335286,14.143285274505615
31,-1103.4401523420427,14.25120496749878
32,-1031.8004438442144,14.32886028289795
33,-1039.0814236693423,14.170297145843506
34,-935.7502441006455,14.086094379425049
35,-1000.6136064771407,14.234216690063477
36,-1070.2194739497231,13.938126564025879
37,-1064.8080871364627,14.165531873703003
38,-1113.3756832354106,14.260510683059692
39,-1006.3639807419455,14.065924882888794
40,-1081.5202652358134,14.128552913665771
41,-1142.4369594119567,14.278969287872314
42,-1060.2356340238716,14.02032732963562
43,-1029.2112147182247,14.210760116577148
44,-977.2895694836869,14.08666729927063
45,-972.2712662580154,14.014456510543823
46,-1066.2903467461729,14.206362962722778
47,-1090.4307037117649,14.053504467010498
48,-1147.414374661631,14.071868419647217
49,-1098.724099032449,14.205283403396606
50,-1116.1727373522265,14.085910558700562
