iteration,episode_reward_mean,iteration_time_sec
1,-1223.9673242733397,11.379285097122192
2,-1205.357415126568,10.84311056137085
3,-1105.0590458455429,10.841802835464478
4,-1144.631069483685,11.087356805801392
5,-1028.5006932370882,10.763664245605469
6,-1135.3784154844068,10.799429416656494
7,-1026.4447737206503,10.96942663192749
8,-1041.2365186392208,10.815324068069458
9,-1110.138546903259,11.113242387771606
10,-1097.1006349758038,10.758278131484985
11,-1020.7264040684954,10.747853755950928
12,-1065.143341920828,10.97567081451416
13,-1084.6036167169614,10.849418640136719
14,-1011.742491257035,10.71318769454956
15,-1138.0767688620504,10.995074987411499
16,-1092.4435056239013,10.769798278808594
17,-955.154029479802,10.698872804641724
18,-1024.1145187444426,10.94308590888977
19,-1101.7583528524674,10.825850248336792
20,-1102.9345162964496,10.78623104095459
21,-1125.7003667017075,11.056257009506226
22,-1160.1445973231062,10.837538957595825
23,-1024.1117188292749,10.751611471176147
24,-1147.8514169409723,11.02945351600647
25,-1103.7906514539593,10.776902675628662
26,-1032.9251647699862,10.713640928268433
27,-1076.783672220031,10.939681768417358
28,-1066.3831848455263,10.703195810317993
29,-1023.5708011427979,10.783078670501709
30,-1085.4154680024199,10.912859439849854
31,-960.223699674879,10.70874810218811
32,-1092.8120025468993,10.718811511993408
33,-1084.2446240335053,11.004824876785278
34,-1044.2763782654176,10.793669939041138
35,-1040.8169712959148,10.700125217437744
36,-1010.1681684686944,11.045281887054443
37,-1004.0215400110075,10.829940795898438
38,-1031.4058871099048,10.651147365570068
39,-985.8895475751924,10.991908073425293
40,-1129.3367410505164,10.789460897445679
41,-1023.2477722868963,10.823795080184937
42,-1016.9897693357059,10.927486419677734
43,-1126.2295141995785,10.827741146087646
44,-1039.322778922484,10.78836178779602
45,-1051.845294337816,11.173543930053711
46,-1051.7181646738013,10.811501502990723
47,-1027.4330149068921,10.746448516845703
48,-1129.1583974283274,11.102431535720825
49,-1021.5988746920328,10.765182971954346
50,-1009.0574147803376,10.77129864692688
