iteration,episode_reward_mean,iteration_time_sec
1,17.326923076923077,11.616523742675781
2,34.21153846153846,10.737862586975098
3,62.10576923076923,10.897323369979858
4,132.09615384615384,10.55051589012146
5,138.90384615384616,10.568249702453613
6,208.68269230769232,10.795630931854248
7,262.3557692307692,10.579138040542603
8,265.74038461538464,10.486065864562988
9,351.75,10.68972897529602
10,459.08653846153845,10.468473672866821
11,491.61538461538464,10.449729681015015
12,419.75961538461536,10.754653692245483
13,372.46153846153845,10.398633003234863
14,450.1442307692308,10.423917055130005
15,479.6923076923077,10.749784469604492
16,334.5480769230769,10.51468014717102
17,313.58653846153845,10.488536834716797
18,350.86538461538464,10.683320999145508
19,297.1057692307692,10.47763466835022
20,301.78846153846155,10.494535446166992
